Document,Topic,Weight,ACN
2563,0,0.94377875,1463011
4215,0,0.94256765,1725655
275,0,0.9424244,1033738
3095,0,0.94166577,1557529
4091,0,0.94157195,1706609
3044,0,0.94102085,1545916
2090,0,0.94093853,1385494
4457,0,0.93996644,1804712
683,0,0.93938625,1104304
2035,0,0.9390061,1370883
2368,1,0.936115,1426356
3228,1,0.934056,1580539
2476,1,0.93310285,1446968
4269,1,0.93213093,1748317
2938,1,0.9316216,1526663
4088,1,0.9313782,1706031
1930,1,0.93136966,1351346
4406,1,0.9310442,1789839
2079,1,0.9297675,1382375
2908,1,0.9293925,1523073
4500,2,0.9462825,1821087
2098,2,0.9413191,1387761
3751,2,0.93828565,1662674
4056,2,0.93810546,1702004
3410,2,0.9375498,1603421
1923,2,0.9373699,1350577
1386,2,0.9369104,1271024
598,2,0.9354006,1092620
3930,2,0.9336937,1688616
1746,2,0.93232536,1322760
4404,3,0.94877934,1789391
4472,3,0.93284446,1809861
4403,3,0.9305616,1789372
4640,3,0.9289708,1857658
4466,3,0.9266847,1806979
1796,3,0.9260794,1328556
4586,3,0.923378,1844205
4668,3,0.9233311,1865270
3449,3,0.923278,1607411
1547,3,0.9231679,1297154
